"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","test_part","correct_response","correct"
"2069","Welcome to the experiment. Press any key to begin.","74","html-keyboard-response","0","2093","0.0-0.0","","",""
"646","<p>In this experiment, a circle will appear in the center of the screen.</p><p>If the circle is <strong>blue</strong>, press the letter F on the keyboard as fast as you can.</p><p>If the circle is <strong>orange</strong>, press the letter J as fast as you can.</p><div style='width: 700px;'><div style='float: left;'><img src='img/blue.png'></img><p class='small'><strong>Press the F key</strong></p></div><div class='float: right;'><img src='img/orange.png'></img><p class='small'><strong>Press the J key</strong></p></div></div><p>Press any key to begin.</p>","74","html-keyboard-response","1","2745","0.0-1.0","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","2","4901","0.0-2.0-0.0","fixation","",""
"257","img/orange.png","74","image-keyboard-response","3","5164","0.0-2.0-1.0","test","j","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","4","5370","0.0-2.0-0.1","fixation","",""
"356","img/blue.png","74","image-keyboard-response","5","5731","0.0-2.0-1.1","test","f","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","6","5935","0.0-2.0-0.2","fixation","",""
"168","img/orange.png","74","image-keyboard-response","7","6107","0.0-2.0-1.2","test","j","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","8","6211","0.0-2.0-0.3","fixation","",""
"341","img/blue.png","74","image-keyboard-response","9","6555","0.0-2.0-1.3","test","f","false"
"576","<p>You responded correctly on 50% of the trials.</p><p>Your average response time was 213ms.</p><p>Press any key to complete the experiment. Thank you!</p>","74","html-keyboard-response","10","7138","0.0-3.0","","",""
